,name,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.
0,K7E2C10J1,4,4,500,20,20,20,5,4,50,0.3,1.2,4
1,K7E3C10J1,3,3,700,20,20,60,5,3,150,0.3,1.3,3
2,K7E5C15J1,5,5,500,15,20,20,7,5,150,0.4,1.4,5
3,K7E4C15J1,8,8,500,15,30,20,7,8,150,0.2,1.4,8
4,K7E7C18J1,2,2,700,15,20,60,7,2,150,0.5,1.3,2
5,K7E6C18J1,9,9,700,25,30,20,5,9,100,0.3,1.3,9
6,K5E3C15J1,7,7,500,15,30,20,7,7,150,0.2,1.3,7
7,K5E2C15J1,6,6,500,25,30,20,7,6,150,0.2,1.3,6
8,K3E1C10J1,3,3,700,20,20,60,5,3,150,0.3,1.3,3
9,K5E4C10J1,11,11,700,25,20,60,7,11,100,0.2,1.4,11
10,K5E5C10J1,4,4,500,20,20,20,5,4,50,0.3,1.2,4
11,K5E1C18J1,8,8,700,15,20,60,7,8,150,0.5,1.2,8
12,K5E4C15J1,10,10,500,15,30,20,7,10,150,0.2,1.4,10
13,K5E5C15J1,6,6,500,25,20,20,7,6,100,0.2,1.3,6
14,K3E1C15J1,1,1,500,15,30,20,7,1,100,0.3,1.4,1
15,K5E3C10J1,3,3,700,20,20,60,5,3,150,0.3,1.3,3
16,K5E2C10J1,4,4,700,25,20,20,7,4,100,0.2,1.4,4
17,K3E2C18J1,5,5,700,25,30,20,5,5,100,0.3,1.2,5
18,K3E3C18J1,10,10,700,15,30,20,5,10,100,0.3,1.2,10
19,K7E5C10J1,7,7,700,15,20,40,3,7,100,0.3,1.3,7
20,K7E4C10J1,2,2,700,20,30,40,7,2,50,0.2,1.2,2
21,K7E2C15J1,5,5,500,15,20,20,7,5,150,0.4,1.4,5
22,K7E3C15J1,8,8,500,15,30,20,7,8,100,0.3,1.3,8
23,K7E1C18J1,1,1,250,25,25,20,5,1,100,0.3,1.2,1
24,K5E2C18J1,1,1,250,25,25,20,5,1,100,0.3,1.2,1
25,K5E3C18J1,4,4,500,15,20,20,3,4,100,0.3,1.2,4
26,K5E1C15J1,9,9,500,15,20,20,5,9,150,0.2,1.4,9
27,K3E3C10J1,7,7,500,15,20,40,5,7,50,0.3,1.2,7
28,K3E2C10J1,4,4,500,20,25,20,7,4,150,0.2,1.3,4
29,K7E4C18J1,5,5,700,25,30,20,5,5,100,0.3,1.2,5
30,K7E5C18J1,8,8,250,25,25,20,5,8,100,0.3,1.2,8
31,K7E1C10J1,9,9,700,25,20,20,5,9,150,0.3,1.4,9
32,K7E6C15J1,1,1,500,15,30,20,7,1,100,0.3,1.4,1
33,K7E7C15J1,1,1,500,15,30,20,7,1,100,0.3,1.4,1
34,K7E3C18J1,1,1,250,25,25,20,5,1,100,0.3,1.2,1
35,K7E2C18J1,1,1,250,25,25,20,5,1,100,0.3,1.2,1
36,K7E6C10J1,3,3,700,20,20,60,5,3,150,0.3,1.3,3
37,K7E7C10J1,7,7,500,15,25,40,5,7,100,0.4,1.4,7
38,K7E1C15J1,10,10,500,15,30,20,7,10,100,0.3,1.4,10
39,K3E1C18J1,1,1,250,25,25,20,5,1,100,0.3,1.2,1
40,K5E5C18J1,10,10,250,25,25,20,7,10,100,0.3,1.3,10
41,K5E4C18J1,1,1,250,25,25,20,5,1,100,0.3,1.2,1
42,K3E3C15J1,1,1,500,15,30,20,7,1,100,0.3,1.4,1
43,K3E2C15J1,1,1,500,15,30,20,7,1,100,0.3,1.4,1
44,K5E1C10J1,2,2,700,20,30,40,7,2,50,0.2,1.2,2
