,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,.ID.,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,.PARENT.,name,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,0,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_1.vrp,5809.0
1,1,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,1,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n536-k96.vrp,97058.0
2,2,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,2,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n641-k35.vrp,66743.0
3,3,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,3,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT7.vrp,909.0
4,4,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,4,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT11.vrp,1109.0
5,5,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,5,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,226066.0
6,6,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,6,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp,46323.0
7,7,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,7,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n153-k22.vrp,21759.0
8,8,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,8,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n129-k18.vrp,29829.0
9,9,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,9,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n106-k14.vrp,26653.0
10,10,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,10,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n237-k14.vrp,27643.0
11,11,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,11,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_8.vrp,11981.0
12,12,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,12,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n294-k50.vrp,48682.0
13,13,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,13,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_20.vrp,1911.0
14,14,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,14,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1166.0
15,15,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,15,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n181-k23.vrp,25865.0
16,16,2,13.0,1.0,1,250,25,25,20,5,1,100,0.3,1.2,1.0,K3C18J2,16,K3C18J2,K3E2C18J2,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n101-k25.vrp,28124.0
