,Unnamed: 0,Unnamed: 0_x,name,nbIterTraces,nbGranular,mu,lambda,nbElite,nbClose,nbIterPenaltyManagement,targetFeasible,penaltyIncrease,penaltyDecrease,Unnamed: 0_y,hiper_parameter_agg,conj_clientes,instancia,custo
0,0,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,0,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n204-k19.vrp,20024.0
1,1,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,1,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n573-k30.vrp,52061.0
2,2,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,2,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT7.vrp,903.0
3,3,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,3,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/CMT9.vrp,1172.0
4,4,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,4,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n247-k50.vrp,
5,5,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,5,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_6.vrp,8535.0
6,6,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,6,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n162-k11.vrp,14380.0
7,7,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,7,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n469-k138.vrp,226106.0
8,8,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,8,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/X-n172-k51.vrp,46377.0
9,9,2,K3C18J3,7,700,18,26,33,6,7,133,0.3,1.2666666666666666,9,K3C18J3,K3E2C18J3,/home/administrador/giron/labotim/HGS-CVRP/Instances/CVRP/Golden_18.vrp,1046.0
