conjunto,media
K7E5C10J3,"{'X-n172-k51.vrp': '46377\n', 'X-n242-k48.vrp': '85037\n', 'X-n749-k98.vrp': '80663\n', 'X-n429-k61.vrp': '67439\n', 'X-n134-k13.vrp': '11120\n', 'X-n233-k16.vrp': '19828\n', 'Golden_17.vrp': '723\n', 'X-n209-k16.vrp': '31578\n', 'X-n384-k52.vrp': '67855\n', 'X-n223-k34.vrp': '41627\n'}"
K7E3C15J3,"{'X-n548-k50.vrp': '88159\n', 'X-n685-k75.vrp': '71151\n', 'X-n819-k171.vrp': '162395\n', 'X-n120-k6.vrp': '13560\n', 'X-n801-k40.vrp': '75898\n', 'X-n439-k37.vrp': '37217\n', 'X-n322-k28.vrp': '30939\n', 'X-n344-k43.vrp': '43531\n', 'X-n298-k31.vrp': '35502\n', 'X-n336-k84.vrp': '142869\n', 'X-n957-k87.vrp': '87386\n', 'X-n376-k94.vrp': '148664\n', 'X-n143-k7.vrp': '16173\n', 'X-n573-k30.vrp': '51775\n', 'CMT2.vrp': '843\n'}"
K5E2C15J3,"{'X-n480-k70.vrp': '91744\n', 'Golden_2.vrp': '8545\n', 'X-n856-k95.vrp': '90641\n', 'X-n115-k10.vrp': '12777\n', 'Golden_4.vrp': '13893\n', 'Golden_3.vrp': '11117\n', 'X-n613-k62.vrp': '62533\n', 'X-n627-k43.vrp': '64275\n', 'X-n916-k207.vrp': '335366\n', 'CMT7.vrp': '909\n', 'X-n294-k50.vrp': '48473\n', 'X-n162-k11.vrp': '14234\n', 'Golden_5.vrp': '6460\n', 'X-n186-k15.vrp': '24550\n', 'X-n979-k58.vrp': '124576\n'}"
K7E2C10J3,"{'X-n613-k62.vrp': '62562\n', 'X-n502-k39.vrp': '69949\n', 'X-n280-k17.vrp': '34394\n', 'X-n181-k23.vrp': '25819\n', 'X-n480-k70.vrp': '92103\n', 'X-n186-k15.vrp': '24908\n', 'Golden_19.vrp': '1407\n', 'Golden_2.vrp': '8568\n', 'CMT5.vrp': '1333\n', 'X-n627-k43.vrp': '64862\n'}"
K7E1C18J3,"{'X-n195-k51.vrp': '45104\n', 'X-n261-k13.vrp': '27697\n', 'X-n480-k70.vrp': '91596\n', 'X-n420-k130.vrp': '110663\n', 'Golden_14.vrp': '1134\n', 'X-n280-k17.vrp': '34394\n', 'X-n190-k8.vrp': '17476\n', 'CMT5.vrp': '1333\n', 'X-n317-k53.vrp': '78954\n', 'X-n524-k153.vrp': '', 'Golden_15.vrp': '1401\n', 'X-n613-k62.vrp': '62317\n', 'X-n401-k29.vrp': '68453\n', 'X-n204-k19.vrp': '20091\n', 'X-n670-k130.vrp': '', 'X-n336-k84.vrp': '', 'X-n223-k34.vrp': '41539\n', 'X-n275-k28.vrp': '21653\n'}"
K7E3C10J3,"{'X-n214-k11.vrp': '11363\n', 'CMT1.vrp': '521\n', 'X-n153-k22.vrp': '21577\n', 'X-n284-k15.vrp': '21139\n', 'X-n167-k10.vrp': '21335\n', 'X-n120-k6.vrp': '13545\n', 'X-n289-k60.vrp': '97691\n', 'Golden_1.vrp': '5801\n', 'X-n195-k51.vrp': '44916\n', 'X-n115-k10.vrp': '12756\n'}"
K3E3C18J3,"{'X-n195-k51.vrp': '45300\n', 'X-n613-k62.vrp': '62498\n', 'X-n716-k35.vrp': '45694\n', 'X-n139-k10.vrp': '13735\n', 'X-n214-k11.vrp': '11363\n', 'X-n384-k52.vrp': '67855\n', 'X-n411-k19.vrp': '20910\n', 'X-n344-k43.vrp': '43513\n', 'Golden_20.vrp': '1879\n', 'CMT4.vrp': '1037\n', 'X-n284-k15.vrp': '21363\n', 'Golden_1.vrp': '5801\n', 'Golden_9.vrp': '523\n', 'X-n480-k70.vrp': '92007\n', 'X-n256-k16.vrp': '19226\n', 'CMT13.vrp': '1574\n', 'X-n837-k142.vrp': '198679\n', 'X-n129-k18.vrp': '29869\n'}"
K5E5C18J3,"{'X-n256-k16.vrp': '19222\n', 'Golden_5.vrp': '6478\n', 'CMT12.vrp': '822\n', 'X-n251-k28.vrp': '39505\n', 'X-n685-k75.vrp': '71050\n', 'X-n157-k13.vrp': '16948\n', 'X-n491-k59.vrp': '69286\n', 'Golden_13.vrp': '895\n', 'X-n393-k38.vrp': '39810\n', 'CMT13.vrp': '1562\n', 'X-n627-k43.vrp': '64838\n', 'X-n331-k15.vrp': '32407\n', 'X-n502-k39.vrp': '69948\n', 'Golden_6.vrp': '8494\n', 'X-n284-k15.vrp': '21250\n', 'X-n561-k42.vrp': '44442\n', 'X-n200-k36.vrp': '59775\n', 'X-n129-k18.vrp': '29952\n'}"
K7E4C15J3,"{'X-n289-k60.vrp': '97570\n', 'Golden_3.vrp': '11199\n', 'X-n613-k62.vrp': '62706\n', 'X-n172-k51.vrp': '46417\n', 'X-n303-k21.vrp': '22471\n', 'X-n110-k13.vrp': '15139\n', 'X-n190-k8.vrp': '17437\n', 'X-n223-k34.vrp': '41437\n', 'X-n317-k53.vrp': '78954\n', 'X-n655-k131.vrp': '107536\n', 'CMT9.vrp': '1179\n', 'Golden_1.vrp': '5800\n', 'Golden_2.vrp': '8569\n', 'X-n148-k46.vrp': '44309\n', 'X-n936-k151.vrp': ''}"
K3E2C18J3,"{'X-n204-k19.vrp': '20024\n', 'X-n573-k30.vrp': '52061\n', 'CMT7.vrp': '918\n', 'CMT9.vrp': '1172\n', 'X-n247-k50.vrp': '', 'Golden_6.vrp': '8454\n', 'X-n162-k11.vrp': '14402\n', 'X-n469-k138.vrp': '225789\n', 'X-n172-k51.vrp': '46377\n', 'Golden_18.vrp': '1036\n', 'X-n536-k96.vrp': '97038\n', 'CMT5.vrp': '1307\n', 'X-n209-k16.vrp': '31578\n', 'X-n701-k44.vrp': '85706\n', 'X-n237-k14.vrp': '27766\n', 'X-n376-k94.vrp': '148624\n', 'X-n957-k87.vrp': '87715\n', 'X-n313-k71.vrp': '96167\n'}"
