"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
55356 55476 55627 55328 55070 55624 55333 NA 55461 55331 55277 55251
865 865 865 865 865 NA NA NA NA 865 865 865
16876 16876 16876 16876 16876 16876 16876 16876 16876 16876 NA 16876
1015 1015 1015 1015 1015 1015 1015 1015 1015 1015 1015 1015
11040 11091 11040 11040 11040 NA NA 11040 11040 11040 11040 11040
67350 67648 67341 67363 67297 67785 67697 67756 67419 67308 67600 67354
27625 NA NA 27601 27635 27667 27756 27708 27647 27648 27691 27631
20312 NA NA 20359 20293 NA NA NA NA 20256 NA 20378
NA NA NA NA 94294 94430 94452 94620 94397 94526 94692 94253
NA NA NA NA 20557 NA NA 20557 20557 20557 NA 20557
NA NA NA NA 121856 NA NA NA NA 121828 122072 121939
NA NA NA NA 21884 NA NA NA NA 21822 NA 21858
