"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13"
13620 13620 13620 13620 13620 NA NA 13620 13620 13620 13620 13620 13620
26383 26395 26394 26392 NA 26419 26401 26390 26383 26386 26381 26364 26370
42925 42907 42922 42852 42900 42936 42890 NA 42914 42872 43051 42992 42881
44428 44376 44271 44087 44317 44273 44166 44154 44120 44160 44188 44210 44080
66623 66615 66613 66454 66588 66701 66479 66484 66447 66406 66462 66437 66447
75491 75034 75223 74570 NA NA NA 75084 74570 74530 74816 74967 75284
NA NA 63318 63020 63222 NA NA 63206 62952 63184 63371 63203 63206
NA NA NA 51238 NA 51321 51435 51267 51181 51126 51306 51186 51323
NA NA NA 10916 NA NA NA 10916 10916 10916 10916 10916 10938
NA NA NA NA NA NA NA NA NA 147947 147772 147887 147762
