"1" "2" "3" "4" "5" "6" "7" "8" "9"
83887 83831 84082 83958 83550 83684 83537 83820 83593
482 487 489 487 485 483 485 484 484
79139 79209 79199 79005 79249 79289 79249 79258 79181
66411 66618 66771 66406 66210 66461 66113 66466 66352
1374 1378 1378 1377 1378 1378 1378 1378 1378
117420 116771 NA 116948 116463 116801 116340 116581 116374
21805 21859 NA 21846 21831 21822 21831 21906 21834
1342 NA NA 1341 1340 1343 1340 1340 1342
95845 NA NA 96338 95972 95690 95852 95717 96110
NA NA NA NA 20403 20346 20403 20295 20359
NA NA NA NA 58634 58643 58634 58658 58663
NA NA NA NA 18880 NA 18880 18880 18880
NA NA NA NA 5624 NA 5624 5631 5634
NA NA NA NA 19758 NA 19758 19777 19783
NA NA NA NA 13332 NA 13332 13332 NA
