"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
55539 55551 55553 55564 55551 55546 55546 55539 55539 55539 55539
30671 30685 30696 30708 30671 30680 30671 30682 30681 30671 30671
14971 14971 14971 14971 14971 14971 14971 14971 14971 14971 14971
76259 76025 76091 76150 76319 76090 75873 76081 76106 75916 75870
8460 8460 8460 8460 8460 8460 8460 8466 8460 8460 8440
488 481 489 488 483 483 483 486 486 484 483
NA 75090 NA 75045 74949 74868 74643 74668 74830 74659 74700
NA 155168 NA 155414 155795 155818 155239 155194 155681 155196 155305
NA 51339 NA NA NA 51350 51434 51292 51126 51237 51254
NA NA NA NA NA NA 11669 11696 11669 11669 11669
NA NA NA NA NA NA 51948 NA NA 51746 52016
