"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
147824 147994 148022 147968 147908 148000 147950 147849 147876 147876
140779 140696 140766 141037 140980 140185 140425 140667 140672 140639
36414 36450 36425 36516 36470 36436 36431 36413 36474 36480
74836 75082 74800 75088 74941 74928 74726 74812 74993 75258
34308 34297 34273 34318 34299 34278 34308 34341 34308 34258
830 830 830 830 830 830 830 830 830 830
NA NA 15700 15711 15700 15700 15700 15700 15700 15700
NA NA 42293 NA 42349 42241 42122 42239 42227 42249
NA NA 13332 NA 13332 13332 13332 13332 13332 13332
NA NA 69197 NA NA 69264 69277 69410 69260 69214
NA NA NA NA NA NA 86571 86615 86781 86492
NA NA NA NA NA NA 51318 51415 51377 51378
NA NA NA NA NA NA 160256 NA 160304 160802
